Incident_No,Force_Type,Incident_Date,Precinct,Race,Gender
178,Level 1 - Use of Force,2014-05-23 17:24:00,0.0,0,0
179,Level 1 - Use of Force,2014-05-26 00:10:00,1.0,1,1
218,Level 1 - Use of Force,2014-05-30 14:06:00,1.0,2,1
219,Level 1 - Use of Force,2014-05-30 23:23:00,1.0,2,1
220,Level 1 - Use of Force,2014-05-30 23:16:00,1.0,3,1
222,Level 1 - Use of Force,2014-05-30 23:19:00,1.0,3,1
223,Level 1 - Use of Force,2014-06-01 16:03:00,2.0,1,1
229,Level 1 - Use of Force,2014-06-02 05:08:00,0.0,8,1
239,Level 1 - Use of Force,2014-06-04 22:07:00,1.0,8,0
240,Level 1 - Use of Force,2014-06-04 22:10:00,1.0,8,0
251,Level 1 - Use of Force,2014-06-07 00:09:00,1.0,1,1
253,Level 1 - Use of Force,2014-06-07 03:05:00,0.0,1,1
254,Level 1 - Use of Force,2014-06-07 03:05:00,0.0,1,1
271,Level 2 - Use of Force,2014-06-11 02:15:00,0.0,8,1
284,Level 2 - Use of Force,2014-06-11 02:15:00,0.0,8,1
285,Level 1 - Use of Force,2014-06-16 21:22:00,1.0,1,1
286,Level 1 - Use of Force,2014-06-16 21:22:00,1.0,1,1
291,Level 1 - Use of Force,2014-06-17 18:16:00,1.0,1,1
292,Level 1 - Use of Force,2014-06-17 18:21:00,1.0,1,1
293,Level 1 - Use of Force,2014-06-17 18:30:00,1.0,1,1
301,Level 1 - Use of Force,2014-06-21 22:10:00,0.0,3,0
302,Level 1 - Use of Force,2014-06-21 22:10:00,0.0,8,0
303,Level 2 - Use of Force,2014-06-21 07:43:00,1.0,1,1
305,Level 3 - Use of Force,2014-06-22 00:29:00,0.0,1,1
306,Level 1 - Use of Force,2014-06-22 00:29:00,0.0,1,1
307,Level 2 - Use of Force,2014-06-22 14:25:00,0.0,1,1
307,Level 2 - Use of Force,2014-06-22 14:25:00,0.0,2,1
308,Level 2 - Use of Force,2014-06-22 14:24:00,0.0,1,1
309,Level 2 - Use of Force,2014-06-22 14:24:00,0.0,1,1
310,Level 2 - Use of Force,2014-06-22 14:26:00,0.0,1,1
311,Level 1 - Use of Force,2014-06-22 00:33:00,1.0,2,1
334,Level 2 - Use of Force,2014-06-25 17:13:00,0.0,1,1
335,Level 2 - Use of Force,2014-06-25 17:13:00,0.0,1,1
336,Level 2 - Use of Force,2014-06-25 17:13:00,0.0,1,1
337,Level 1 - Use of Force,2014-06-22 00:33:00,1.0,2,1
338,Level 2 - Use of Force,2014-06-25 17:15:00,0.0,1,1
339,Level 3 - Use of Force,2014-06-25 23:30:00,0.0,1,1
340,Level 3 - Use of Force,2014-06-25 23:40:00,0.0,1,1
341,Level 2 - Use of Force,2014-06-25 23:30:00,0.0,1,1
342,Level 3 - Use of Force,2014-06-25 23:30:00,0.0,1,1
349,Level 2 - Use of Force,2014-06-26 15:03:00,3.0,2,1
350,Level 2 - Use of Force,2014-06-26 15:03:00,3.0,2,1
351,Level 1 - Use of Force,2014-06-26 23:56:00,0.0,1,0
352,Level 1 - Use of Force,2014-06-27 00:30:00,3.0,2,1
357,Level 1 - Use of Force,2014-06-27 22:30:00,3.0,2,0
358,Level 1 - Use of Force,2014-06-27 23:25:00,3.0,2,0
