Incident_No,Force_Type,Incident_Date,Race,Gender,Age,Precinct,Neighborhood,Is911Call
08-000127,Level 1 - Use of Force,2008/01/01 01:15:31+00,1.0,0.0,25.0,2,Bottineau,0.0
08-000127,Level 1 - Use of Force,2008/01/01 01:15:31+00,1.0,0.0,25.0,2,Bottineau,0.0
08-000127,Level 1 - Use of Force,2008/01/01 01:15:31+00,1.0,0.0,25.0,2,Bottineau,0.0
08-000144,Level 1 - Use of Force,2008/01/01 01:27:27+00,2.0,1.0,27.0,3,East Phillips,0.0
08-000144,Level 1 - Use of Force,2008/01/01 01:27:27+00,2.0,1.0,27.0,3,East Phillips,0.0
08-000144,Level 2 - Use of Force,2008/01/01 01:27:27+00,2.0,1.0,27.0,3,East Phillips,0.0
08-000149,Level 1 - Use of Force,2008/01/01 01:29:47+00,2.0,1.0,39.0,1,Downtown West,0.0
08-000149,Level 1 - Use of Force,2008/01/01 01:29:47+00,2.0,1.0,39.0,1,Downtown West,0.0
08-000165,Level 1 - Use of Force,2008/01/01 01:40:02+00,2.0,1.0,42.0,1,Downtown West,0.0
08-000165,Level 1 - Use of Force,2008/01/01 01:40:02+00,2.0,1.0,42.0,1,Downtown West,0.0
08-000420,Level 2 - Use of Force,2008/01/01 04:48:26+00,3.0,1.0,28.0,3,Corcoran,1.0
08-000895,Level 2 - Use of Force,2008/01/01 17:02:44+00,1.0,1.0,45.0,5,Whittier,1.0
08-000895,Level 2 - Use of Force,2008/01/01 17:02:44+00,1.0,1.0,45.0,5,Whittier,1.0
08-000946,Level 1 - Use of Force,2008/01/01 18:40:55+00,1.0,1.0,52.0,4,Willard - Hay,0.0
08-001057,Level 1 - Use of Force,2008/01/01 21:48:33+00,7.0,0.0,32.0,3,East Phillips,1.0
08-001059,Level 1 - Use of Force,2008/01/01 21:49:34+00,1.0,1.0,43.0,4,Hawthorne,0.0
08-001059,Level 2 - Use of Force,2008/01/01 21:49:34+00,1.0,1.0,43.0,4,Hawthorne,0.0
08-001245,Level 1 - Use of Force,2008/01/02 02:20:27+00,1.0,0.0,19.0,4,Folwell,1.0
08-001987,Level 1 - Use of Force,2008/01/02 21:02:35+00,2.0,1.0,46.0,5,Whittier,0.0
08-002126,Level 2 - Use of Force,2008/01/02 22:56:24+00,1.0,1.0,39.0,5,Whittier,1.0
08-002340,Level 1 - Use of Force,2008/01/03 03:05:10+00,1.0,0.0,36.0,1,Downtown West,0.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,7.0,1.0,15.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,7.0,1.0,15.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-003239,Level 1 - Use of Force,2008/01/03 23:08:24+00,1.0,1.0,22.0,4,Webber - Camden,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003786,Level 1 - Use of Force,2008/01/04 13:30:33+00,1.0,1.0,18.0,3,Wenonah,1.0
08-003786,Level 1 - Use of Force,2008/01/04 13:30:33+00,1.0,1.0,18.0,3,Wenonah,1.0
